IDMethod,project,package,complextype,method,is_smell,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods
249,fitjava-1.1,fat,DocumentParseFixture,Output(),FALSE,0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0
250,fitjava-1.1,fat,DocumentParseFixture,Structure(),FALSE,0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0
251,fitjava-1.1,fat,DocumentParseFixture,GenerateOutput(Parse),FALSE,1,0,0,0,0,1,5,1,0,2,0,2,0,1,1,0,0,1,0,1,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0
252,fitjava-1.1,fat,DocumentParseFixture,dumpTables(Parse),FALSE,1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0
253,fitjava-1.1,fat,DocumentParseFixture,dumpRows(Parse),FALSE,1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0
254,fitjava-1.1,fat,DocumentParseFixture,dumpCells(Parse),FALSE,1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,0,0,0,0,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0
306,fitjava-1.1,fat,ReferenceFixture,Result(),FALSE,0,0,5,2,0,3,29,5,0,8,0,12,0.2857142857142857,1,3,2,0,3,0,0.3333333333333333,0,5,5,5,6,3,3,1,0,35,701,2453,35,32,0,0,3,20,60,0,0,0,0,0,72,243,1,72,254,1,3,2,52,1,5,5,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
529,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intString),FALSE,2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0
530,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intintintString),FALSE,4,1,0,0,1,1,3,1,0,4,0,4,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0
531,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(StringException),FALSE,2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0
532,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intintString),FALSE,3,0,0,0,0,1,3,1,0,3,0,3,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0
548,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethod(),FALSE,0,0,10,3,0,3,33,6,0,6,0,23,0.2941176470588235,5,6,5,3,6,0,0.8333333333333334,0,11.310344827586206,11.310344827586206,106,27,51,1,25,0.7232142857142857,1371,2639,6694,1371,0,0,0,4,8,48,2,0,1,1,1,100,233,29,109,245,29,0,4,87,1,328,328,1,0,0,0,0,4,0,0,0,0,2,0,0,0,29,23,6,3,0,1,25,0,0,4,27,6
549,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodAttributes(MethodArrayListSourceCodeParser.LabeledInstructionsAttribute_CodeArrayList),FALSE,5,0,9,2,0,4,48,10,0,6,0,17,0.1666666666666666,1,3,2,6,3,0,0.3333333333333333,0,11.310344827586206,11.310344827586206,106,27,51,1,25,0.7232142857142857,1371,2639,6694,1371,0,0,0,4,8,48,2,0,1,1,1,100,233,29,109,245,29,0,4,87,1,328,328,1,0,0,0,0,4,0,0,0,0,2,0,0,0,29,23,6,3,0,1,25,0,0,4,27,6
551,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodInstructions(Method),TRUE,1,0,56,2,0,6,523,139,0,25,0,105,0.3,7,19,24,6,19,0,0.3684210526315789,0,11.310344827586206,11.310344827586206,106,27,51,1,25,0.7232142857142857,1371,2639,6694,1371,0,0,0,4,8,48,2,0,1,1,1,100,233,29,109,245,29,0,4,87,1,328,328,1,0,0,0,0,4,0,0,0,0,2,0,0,0,29,23,6,3,0,1,25,0,0,4,27,6
755,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,toString(Attribute_CodeHashSet),TRUE,2,0,83,8,0,6,257,75,0,16,0,101,0.023529412,3,5,2,4,5,0,0.6,0,6.870967741935484,6.870967741935484,173,36,13,1,4,0.6666666666666666,828,1422,6694,828,0,0,0,2,3,48,0,0,0,0,1,54,233,31,54,245,31,0,4,44,1,213,213,1,0,0,0,0,2,0,0,0,0,2,0,0,0,31,30,1,2,0,0,27,0,0,4,29,1
777,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isWeekend(Calendar),FALSE,1,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,15,44,7842,15,11,0,0,0,2,58,0,0,0,0,2,5,326,2,5,541,2,0,11,21,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0
778,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isHoliday(Calendar),FALSE,1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,15,44,7842,15,11,0,0,0,2,58,0,0,0,0,2,5,326,2,5,541,2,0,11,21,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0
780,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getHolidayCalendar(String),FALSE,1,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1.3333333333333333,1.3333333333333333,0,5,2,2,2,0,29,44,7842,29,7,0,0,0,2,58,0,0,0,0,2,5,326,3,5,541,3,0,11,15,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0
781,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getHolidayCalendar(StringClass),FALSE,2,0,0,0,0,2,12,2,0,2,0,1,0,2,2,0,0,2,0,1,0,1.3333333333333333,1.3333333333333333,0,5,2,2,2,0,29,44,7842,29,7,0,0,0,2,58,0,0,0,0,2,5,326,3,5,541,3,0,11,15,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0
782,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getAvailableLocales(),FALSE,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,1.3333333333333333,0,5,2,2,2,0,29,44,7842,29,7,0,0,0,2,58,0,0,0,0,2,5,326,3,5,541,3,0,11,15,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0
783,jFin_DateMath-R1.0.1,org.jfin.date.web.example,PlainSwap,getCurrency(),FALSE,0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,15,9,3,1,3,0.9717948717948718,330,1293,7842,330,0,0,39,20,5,58,0,0,0,0,2,27,326,1,138,541,40,0,11,58,0.087179487,1,40,0.025,0,0,0,0,19,1,1,0,1,0,0,0,0,41,41,0,0,0,20,0,0,0,41,1,0
1185,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,generateSchedule(CalendarCalendarintintStubTypePeriodint),TRUE,7,0,9,2,0,5,176,23,0,18,0,32,0.1,3,3,1,2,7,0,0.4285714285714285,1,2.5,2.5,13,6,5,1,5,1,538,1447,7842,538,0,0,0,1,10,58,0,0,0,1,2,60,326,18,77,541,18,0,11,31,0.7843137254901961,45,45,1,0,0,0,0,0,1,1,0,0,0,0,0,0,18,0,18,0,0,1,0,0,0,18,18,18
1341,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,DOMParser(),FALSE,0,0,0,0,0,2,18,3,0,1,0,0,0,1,1,0,0,1,0,1,0,3.333333333333333,3.333333333333333,1,2,3,5,2,0,88,619,10835,88,72,0,0,0,3,56,0,0,0,0,5,28,445,3,34,502,3,0,4,6,1,10,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1
1342,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,doctypeDecl(StringStringStringAugmentations),FALSE,4,0,1,1,0,2,27,4,0,6,0,7,0,1,2,0,1,2,0,0.5,0,3.333333333333333,3.333333333333333,1,2,3,5,2,0,88,619,10835,88,72,0,0,0,3,56,0,0,0,0,5,28,445,3,34,502,3,0,4,6,1,10,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1
1343,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,getParserSubVersion(),FALSE,0,0,1,1,0,3,12,3,0,4,0,4,0,1,2,0,0,2,0,0.5,1,3.333333333333333,3.333333333333333,1,2,3,5,2,0,88,619,10835,88,72,0,0,0,3,56,0,0,0,0,5,28,445,3,34,502,3,0,4,6,1,10,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1
1344,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,DOMFragmentParser(),FALSE,0,0,0,0,0,1,7,1,0,0,0,4,1,1,1,4,0,1,0,1,0,1.75,1.8333333333333333,0,1,1,1,1,0.9373040752351096,390,619,10835,518,0,0,6,11,3,56,0,0,1,0,5,28,445,24,34,502,30,0,4,31,0.2610837438423645,42,55,0.8,0,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0
1345,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,parse(StringDocumentFragment),FALSE,2,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,1,0,0,0,0,1.75,1.8333333333333333,0,1,1,1,1,0.9373040752351096,390,619,10835,518,0,0,6,11,3,56,0,0,1,0,5,28,445,24,34,502,30,0,4,31,0.2610837438423645,42,55,0.8,0,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0
1346,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,parse(InputSourceDocumentFragment),FALSE,2,0,0,0,0,3,30,3,0,10,0,14,1,0,0,4,0,0,0,0,0,1.75,1.8333333333333333,0,1,1,1,1,0.9373040752351096,390,619,10835,518,0,0,6,11,3,56,0,0,1,0,5,28,445,24,34,502,30,0,4,31,0.2610837438423645,42,55,0.8,0,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0
1428,nekohtml-1.9.14,org.cyberneko.html,HTMLTagBalancer,startElement(QNameXMLAttributesAugmentations),TRUE,3,0,15,2,0,7,206,60,0,19,0,52,0.4285714285714285,5,11,15,12,11,0,0.4545454545454545,0,5.605263157894737,4.829787234042553,19,10,30,1,11,0.9492753623188406,1264,7963,10835,1342,0,0,9,48,40,56,3,0,2,5,5,277,445,38,322,502,47,1,4,77,0.4935897435897436,213,227,0.7096774193548387,0,24,5,19,24,19,0,0,1,0,7,5,2,41,41,0,0,1,13,7,34,9,31,38,2
